TIMESTAMP,ROUND,N_RX,N_ERR_PKTS,ERRS,SLOTS
2023-12-20 22:31:19.453481,1,12,12,{16:1;17:1;26:1;27:1;30:1;32:1;35:1;36:1;40:1;42:1;44:1;51:1;61:1;66:1;70:1;74:1;78:2;79:1;82:1;83:1;85:1;86:2;91:1;94:1;97:1;100:2;103:1;104:1;106:1;110:1;118:1;122:1;123:1;124:1;126:1;127:1;133:1;145:1;146:1;147:1;265:1;272:1;290:1;291:1;293:1;294:1;300:1;301:1;306:1;307:1;309:1;311:1;312:1;322:1;324:1;325:1;327:1;328:1;330:1;331:1;334:1;335:1;340:1;345:1;351:1;352:1;355:1;357:1;360:1;362:2;363:1;364:2;365:1;368:1;369:1;373:1;374:1;379:1;380:1;381:2;382:2;390:1;396:1;403:1;407:1;408:1;415:1;416:1;417:1;418:1;421:1;447:1;515:1;516:1;517:1;522:1;523:1;527:1;530:1;531:1;536:1;542:1;544:1;548:1;551:1;552:1;558:1;565:1;567:1;578:1;580:1;583:1;584:1;585:1;586:2;587:1;593:1;594:1;598:1;603:1;610:1;616:1;617:1;618:2;621:2;623:1;626:1;627:1;632:2;633:1;644:1;647:2;649:1;654:1;657:1;661:1;662:1;666:1;679:1;682:1;689:1;759:1;769:1;770:1;771:1;772:1;792:1;793:1;794:1;800:1;801:2;802:1;806:1;807:1;809:1;810:1;824:1;825:1;827:1;828:1;835:1;837:1;840:1;841:1;843:1;844:2;846:1;851:1;852:1;857:1;858:1;864:1;865:1;868:1;871:1;873:1;875:2;876:1;878:1;880:1;883:1;889:1;891:1;895:1;896:1;902:1;903:1;904:1;905:1;919:1;924:1;934:1;964:1;1011:1;1027:1;1039:1;1042:1;1043:1;1046:1;1048:1;1049:1;1051:1;1058:1;1060:1;1067:1;1082:1;1085:1;1088:1;1090:1;1093:1;1094:1;1095:1;1098:2;1101:1;1102:2;1109:1;1110:1;1113:1;1114:1;1115:1;1116:1;1119:2;1126:1;1131:1;1132:1;1137:2;1138:1;1139:1;1142:1;1143:1;1144:1;1149:1;1156:1;1163:1;1164:1;1165:1;1179:1;1182:1;1190:1;1205:1;1286:1;1288:1;1289:1;1315:1;1316:1;1318:1;1322:1;1325:1;1334:1;1336:1;1338:1;1340:1;1348:1;1357:1;1361:1;1364:1;1365:1;1366:1;1367:1;1369:1;1370:1;1371:1;1374:1;1380:1;1381:1;1382:1;1391:2;1397:1;1402:1;1405:1;1406:1;1407:1;1409:1;1412:1;1419:1;1420:1;1421:1;1423:1;1424:1;1432:1;1433:1;1437:1;1443:1;1444:1;1558:1;1560:1;1564:1;1565:1;1567:1;1568:1;1574:1;1575:1;1576:1;1583:1;1593:1;1594:1;1601:1;1602:2;1603:1;1605:1;1608:1;1609:2;1610:1;1616:1;1619:1;1622:1;1623:1;1626:1;1627:1;1629:1;1631:1;1633:1;1634:2;1636:1;1639:1;1640:1;1641:1;1643:1;1647:1;1648:1;1653:1;1663:1;1664:1;1665:2;1675:1;1677:1;1678:1;1679:1;1682:1;1685:1;1686:1;1690:1;1695:1;1698:1;1701:1;1702:1;1709:1;1714:1;1785:1;1786:1;1796:1;1797:1;1800:1;1801:1;1804:1;1805:1;1816:1;1818:1;1822:1;1823:1;1825:1;1826:1;1840:1;1848:1;1850:1;1852:1;1854:1;1855:1;1856:1;1860:1;1863:1;1866:1;1867:1;1872:1;1873:1;1877:1;1879:1;1881:1;1882:1;1884:1;1885:1;1887:1;1889:1;1892:1;1893:1;1894:2;1895:1;1896:1;1897:1;1898:1;1900:1;1901:1;1905:1;1906:1;1914:1;1917:1;1918:1;1920:1;1922:1;1931:1;1935:1;1937:1;1941:1;1948:1;1952:1;1967:1;},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:38:02.447514,399,29,29,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:38:11.454480,408,29,29,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:38:22.449247,417,31,31,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:38:26.461373,428,13,13,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:38:53.449964,432,92,92,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:38:59.449235,459,14,14,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:39:03.454521,465,13,13,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:39:27.459449,469,99,99,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:39:38.452588,493,30,30,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:40:08.456287,504,110,110,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:40:12.454163,534,12,12,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:40:20.450604,538,17,17,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:40:56.449745,546,137,137,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
2023-12-20 22:41:07.451460,582,32,32,{},[0;33m[WARN: OSF       ] [0mRX timeout MISS
